id;celda;fecha_hora;pot_activa;pot_reactiva
557139707;SM04;23/08/2025 12:00;-1.254;0.248
448894490;SM03;26/01/2025 21:00;0;0
448894527;SM04;26/01/2025 06:15;0;0
434649815;SM03;6/02/2025 07:00;0;0
433333980;SM03;3/02/2025 15:45;0;0
433333993;SM03;3/02/2025 19:00;0;0
433334010;SM03;3/02/2025 23:15;0;0
433334040;SM04;3/02/2025 06:45;0;0
433772594;SM03;4/02/2025 13:30;0;0
433772625;SM03;4/02/2025 21:15;0;0
433772698;SM04;4/02/2025 15:30;0;0
434211191;SM03;5/02/2025 06:45;0;0
434211308;SM04;5/02/2025 12:00;0;0
432456695;SM03;1/02/2025 06:30;0;0
432456745;SM03;1/02/2025 19:00;0;0
432456785;SM04;1/02/2025 05:00;0;0
432895349;SM03;2/02/2025 14:00;0;0
432895458;SM04;2/02/2025 17:15;0;0
777366330;SM03;30/10/2025 03:00;2.57;-0.133
777366358;SM03;30/10/2025 10:00;3.679;0.434
777366365;SM03;30/10/2025 11:45;4.159;0.533
777366374;SM03;30/10/2025 14:00;3.787;0.448
777366377;SM03;30/10/2025 14:45;3.883;0.488
774018927;SM03;29/10/2025 04:45;2.74;0.113
774018968;SM03;29/10/2025 15:00;3.908;0.484
774020549;SM04;29/10/2025 02:15;-2.165;0
767325502;SM03;27/10/2025 02:00;2.497;-0.302
767325514;SM03;27/10/2025 05:00;2.573;-0.141
767325560;SM03;27/10/2025 16:30;3.887;0.442
767325579;SM03;27/10/2025 21:15;5.064;0.45
767328540;SM04;27/10/2025 01:45;-2.086;0.005
770675111;SM03;28/10/2025 00:15;3.19;-0.097
770675132;SM03;28/10/2025 05:30;2.875;0.128
605866444;SM03;8/09/2025 14:00;3.715;0.38
609116920;SM03;9/09/2025 19:15;5.298;0.245
609123300;SM04;9/09/2025 04:00;-2.087;0
612372878;SM04;10/09/2025 04:45;-1.973;-0.001
612372820;SM03;10/09/2025 14:15;3.661;0.268
612372834;SM03;10/09/2025 17:45;3.939;0.114
615626140;SM03;11/09/2025 03:00;2.422;-0.215
615626163;SM03;11/09/2025 08:45;3.477;0.266
615626213;SM03;11/09/2025 21:15;4.829;0.242
592857670;SM04;4/09/2025 15:15;-1.39;0.243
592854529;SM03;4/09/2025 22:00;3.637;-0.384
592854456;SM03;4/09/2025 03:45;2.554;-0.118
596109580;SM04;5/09/2025 18:00;-1.273;0.189
599358976;SM03;6/09/2025 09:15;3.69;0.449
599359000;SM03;6/09/2025 15:15;3.794;0.47
599358951;SM03;6/09/2025 03:00;2.562;-0.14
602613602;SM04;7/09/2025 17:45;-1.647;0.167
579856332;SM04;31/08/2025 09:00;-1.403;0.122
579856385;SM04;31/08/2025 22:15;-1.318;0.212
579856242;SM03;31/08/2025 10:30;3.232;-0.17
579856283;SM03;31/08/2025 20:45;4.761;0.045
579856274;SM03;31/08/2025 18:30;4.618;0.371
583106615;SM03;1/09/2025 02:00;2.438;-0.4
583106624;SM03;1/09/2025 04:15;2.389;-0.34
583106658;SM03;1/09/2025 12:45;3.79;0.329
586357041;SM04;2/09/2025 10:00;-1.536;0.223
586357077;SM04;2/09/2025 19:00;-0.694;0.286
586356955;SM03;2/09/2025 12:30;3.949;0.452
553896714;SM03;22/08/2025 09:45;3.625;0.428
553896734;SM03;22/08/2025 14:45;3.883;0.493
553896865;SM04;22/08/2025 23:30;-1.566;0.012
557139736;SM04;23/08/2025 19:15;-0.581;0.277
557139737;SM04;23/08/2025 19:30;-0.584;0.273
557139567;SM03;23/08/2025 01:00;2.815;-0.451
544359879;SM04;20/08/2025 02:00;-1.792;0.061
544359935;SM04;20/08/2025 21:45;-0.933;0.249
547419995;SM04;21/08/2025 02:15;-1.886;0.026
547420002;SM04;21/08/2025 04:00;-1.927;0.018
547413592;SM03;21/08/2025 09:30;3.737;0.479
547413605;SM03;21/08/2025 12:45;3.883;0.446
538507694;SM04;18/08/2025 01:45;-1.877;0.179
541721585;SM03;19/08/2025 21:15;4.952;0.279
532075413;SM04;16/08/2025 16:00;-1.304;0.22
528864228;SM04;17/08/2025 14:00;-1.226;0.221
528861432;SM03;17/08/2025 05:30;2.597;-0.142
557139623;SM03;23/08/2025 15:00;3.811;0.458
557139629;SM03;23/08/2025 16:30;3.877;0.469
557139573;SM03;23/08/2025 02:30;2.481;-0.442
544359914;SM04;20/08/2025 16:30;-1.312;0.234
544359829;SM03;20/08/2025 07:45;3.393;0.202
544359841;SM03;20/08/2025 16:30;3.883;0.488
544359844;SM03;20/08/2025 17:15;3.95;0.461
547413560;SM03;21/08/2025 01:30;2.656;-0.159
547420016;SM04;21/08/2025 07:30;-1.606;0.02
547420050;SM04;21/08/2025 16:00;-1.429;0.212
547413624;SM03;21/08/2025 17:30;4.166;0.516
532075355;SM04;16/08/2025 01:30;-1.983;-0.054
532075357;SM04;16/08/2025 02:00;-1.999;0.037
532075424;SM04;16/08/2025 18:45;-0.493;0.304
532075431;SM04;16/08/2025 20:30;-0.606;0.297
532078099;SM03;16/08/2025 15:30;3.828;0.493
528861412;SM03;17/08/2025 00:30;3.319;0.023
528861464;SM03;17/08/2025 13:30;3.546;0.073
528864175;SM04;17/08/2025 00:45;-1.718;-0.064
528864266;SM04;17/08/2025 23:30;-1.601;0.009
538507767;SM04;18/08/2025 20:00;-0.673;0.276
717247140;SM04;12/10/2025 18:45;-0.725;0.264
717247096;SM04;12/10/2025 07:45;-1.773;0.075
717247004;SM03;12/10/2025 08:45;2.986;-0.374
720560252;SM03;13/10/2025 19:00;5.306;0.659
720560311;SM04;13/10/2025 09:45;-1.426;0.262
723882363;SM04;14/10/2025 03:00;-2.003;-0.004
723880731;SM03;14/10/2025 03:00;2.477;-0.249
723880811;SM03;14/10/2025 23:00;4.027;0.199
723882403;SM04;14/10/2025 13:00;-1.454;0.322
723882412;SM04;14/10/2025 15:15;-1.438;0.305
723882414;SM04;14/10/2025 15:45;-1.461;0.287
727222275;SM04;15/10/2025 21:45;-1.061;0.242
727219258;SM03;15/10/2025 11:30;3.949;0.468
727219288;SM03;15/10/2025 19:00;5.376;0.606
710621832;SM04;10/10/2025 06:30;-1.598;0.144
710621864;SM04;10/10/2025 14:30;-1.364;0.325
710621743;SM03;10/10/2025 08:15;3.434;0.283
710621803;SM03;10/10/2025 23:15;3.713;-0.176
713935638;SM04;11/10/2025 12:00;-1.505;0.275
713935648;SM04;11/10/2025 14:30;-1.701;0.228
713935681;SM04;11/10/2025 22:45;-1.219;0.216
713932638;SM03;11/10/2025 06:00;2.754;-0.185
707308666;SM03;9/10/2025 16:00;3.797;0.472
700687120;SM04;7/10/2025 01:15;-2.003;-0.005
700688094;SM03;7/10/2025 04:45;2.574;-0.164
694071573;SM03;5/10/2025 08:00;2.862;-0.064
694071696;SM04;5/10/2025 14:45;-1.577;0.243
694071730;SM04;5/10/2025 23:15;-1.702;0.161
697380098;SM04;6/10/2025 18:15;-1.287;0.211
453327333;SM04;25/02/2025 13:30;0;0
453327346;SM04;25/02/2025 16:45;0;0
452427309;SM04;20/02/2025 08:45;0;0
452427253;SM03;20/02/2025 18:45;0;0
452427295;SM04;20/02/2025 05:15;0;0
451976714;SM03;21/02/2025 16:00;0;0
451976730;SM03;21/02/2025 20:00;0;0
451976812;SM04;21/02/2025 16:30;0;0
439678899;SM03;18/02/2025 08:30;0;0
440117565;SM03;19/02/2025 19:00;0;0
438801682;SM03;16/02/2025 16:15;0;0
438801791;SM04;16/02/2025 19:30;0;0
438801792;SM04;16/02/2025 19:45;0;0
438801803;SM04;16/02/2025 22:30;0;0
439240276;SM03;17/02/2025 08:45;0;0
439240292;SM03;17/02/2025 12:45;0;0
439240318;SM03;17/02/2025 19:15;0;0
439240319;SM03;17/02/2025 19:30;0;0
439240333;SM03;17/02/2025 23:00;0;0
439240380;SM04;17/02/2025 10:45;0;0
437928316;SM03;14/02/2025 03:00;0;0
437928420;SM04;14/02/2025 05:30;0;0
437928459;SM04;14/02/2025 15:15;0;0
437928485;SM04;14/02/2025 22:15;0;0
438363053;SM03;15/02/2025 15:00;0;0
438363113;SM04;15/02/2025 06:00;0;0
438363144;SM04;15/02/2025 13:45;0;0
438363168;SM04;15/02/2025 19:45;0;0
437056640;SM03;12/02/2025 13:15;0;0
437056694;SM04;12/02/2025 02:45;0;0
437056728;SM04;12/02/2025 11:15;0;0
437056756;SM04;12/02/2025 18:15;0;0
489484289;SM03;28/05/2025 10:30;3.829;0.55
489484271;SM03;28/05/2025 06:00;2.964;0.257
489484309;SM03;28/05/2025 15:30;3.793;0.501
488567200;SM04;26/05/2025 12:15;1.893;0.602
488565126;SM03;26/05/2025 21:45;4.637;0.367
488567228;SM04;26/05/2025 19:15;2.579;0.537
488565095;SM03;26/05/2025 14:00;3.567;0.46
489026782;SM04;27/05/2025 18:00;2.024;0.476
528861496;SM03;17/08/2025 21:30;4.422;0.011
526284377;SM03;14/08/2025 05:00;2.607;-0.122
526284392;SM03;14/08/2025 08:45;3.513;0.353
526286561;SM04;14/08/2025 23:00;-1.503;0.177
526284359;SM03;14/08/2025 00:30;2.992;-0.147
526286552;SM04;14/08/2025 20:45;-0.826;-0.069
526286478;SM04;14/08/2025 02:15;-2.114;0
535293153;SM03;15/08/2025 09:45;3.646;0.443
